0,745,55
1,699,49
2,316,964
3,283,724
4,681,93
5,925,462
6,377,390
7,282,706
8,474,780
9,801,1022
10,941,155
11,446,450
12,767,952
13,395,817
14,181,154
15,608,346
16,214,256
17,845,373
18,176,162
19,601,280
20,769,659
21,584,82
22,593,92
23,770,817
24,32,324
25,366,203
26,837,11
27,427,788
28,997,82
29,730,545
30,492,894
31,298,224
32,972,610
33,840,193
34,651,387
35,377,139
36,368,446
37,445,664
38,468,712
39,484,973
40,480,562
41,847,38
42,154,53
43,853,807
44,471,779
45,287,646
46,200,353
47,183,985
48,886,492
49,498,561
50,431,8
51,648,775
52,716,646
53,322,71
54,585,351
55,379,297
56,892,157
57,825,257
58,631,393
59,383,117
60,713,150
61,930,298
62,200,175
63,828,291
64,643,799
65,474,672
66,312,1022
67,552,815
68,650,710
69,129,94
70,509,809
71,27,686
72,37,479
73,495,470
74,670,272
75,405,483
76,962,139
77,393,836
78,661,1001
79,788,718
80,915,404
81,613,290
82,999,629
83,78,369
84,793,375
85,285,1002
86,920,185
87,382,942
88,441,284
89,340,821
90,322,815
91,453,128
92,98,406
93,763,907
94,174,934
95,824,297
96,143,961
97,95,304
98,27,676
99,561,260
100,288,414
101,990,1008
102,926,920
103,352,747
104,14,9
105,829,17
106,534,310
107,855,573
108,597,434
109,704,887
110,569,491
111,118,318
112,602,77
113,916,909
114,641,676
115,391,723
116,925,604
117,853,150
118,266,7
119,985,655
120,407,849
121,587,445
122,264,966
123,841,912
124,675,132
125,628,705
126,499,212
127,370,205
128,755,1019
129,875,992
130,347,517
131,776,95
132,743,520
133,520,876
134,794,789
135,385,673
136,883,131
137,713,411
138,163,12
139,819,532
140,742,443
141,813,783
142,842,657
143,870,433
144,1008,547
145,132,249
146,628,41
147,555,152
148,156,611
149,547,763
150,562,771
151,336,993
152,737,926
153,397,644
154,15,456
155,105,531
156,106,401
157,177,468
158,919,189
159,428,702
160,867,452
161,344,469
162,433,131
163,53,158
164,617,989
165,170,385
166,493,3
167,586,288
168,529,549
169,728,991
170,692,56
171,871,272
172,803,348
173,296,619
174,378,255
175,517,15
176,291,299
177,998,338
178,585,669
179,125,649
180,445,495
181,562,222
182,590,842
183,744,269
184,610,467
185,837,110
186,904,965
187,381,827
188,661,555
189,860,604
190,99,264
191,935,207
192,628,556
193,600,655
194,164,1021
195,1023,21
196,603,648
197,797,443
198,529,626
199,76,629
200,507,223
201,180,721
202,509,658
203,705,476
204,668,903
205,367,477
206,564,992
207,785,109
208,538,235
209,181,18
210,729,466
211,560,839
212,471,657
213,347,991
214,41,304
215,816,240
216,721,461
217,310,442
218,654,470
219,579,181
220,529,54
221,548,644
222,270,649
223,162,334
224,715,833
225,402,908
226,465,126
227,274,778
228,494,387
229,424,448
230,602,873
231,164,11
232,266,222
233,523,471
234,253,528
235,647,84
236,347,804
237,671,556
238,832,503
239,1009,744
240,520,687
241,971,101
242,273,758
243,659,442
244,967,525
245,604,317
246,763,392
247,135,741
248,711,269
249,145,877
250,550,10
251,67,860
252,742,590
253,691,16
254,860,84
255,492,347
256,341,743
257,827,749
258,805,1000
259,297,936
260,539,471
261,432,921
262,986,314
263,966,568
264,848,676
265,840,428
266,896,179
267,353,192
268,882,465
269,430,538
270,615,935
271,955,118
272,989,745
273,637,588
274,176,712
275,440,907
276,60,592
277,402,670
278,71,115
279,102,737
280,938,349
281,207,434
282,576,463
283,575,242
284,82,257
285,426,99
286,573,962
287,102,56
288,625,693
289,942,797
290,34,673
291,183,754
292,1021,150
293,759,249
294,64,203
295,326,723
296,647,38
297,745,836
298,29,372
299,832,8
300,393,923
301,869,235
302,523,390
303,832,190
304,1012,910
305,563,196
306,12,194
307,158,152
308,138,623
309,691,975
310,706,301
311,942,644
312,419,103
313,904,319
314,955,611
315,147,721
316,464,267
317,151,387
318,755,388
319,274,933
320,35,213
321,900,885
322,544,320
323,914,699
324,24,601
325,468,892
326,316,992
327,159,204
328,642,748
329,472,947
330,697,815
331,586,230
332,629,960
333,725,490
334,722,996
335,531,233
336,711,884
337,254,235
338,206,838
339,603,868
340,637,167
341,899,399
342,558,730
343,1000,819
344,142,85
345,337,447
346,866,574
347,680,418
348,303,664
349,238,31
350,813,941
351,664,301
352,326,479
353,176,479
354,395,830
355,665,155
356,688,957
357,618,498
358,222,111
359,765,190
360,672,808
361,201,274
362,6,149
363,193,541
364,453,613
365,212,233
366,576,858
367,148,892
368,159,684
369,823,548
370,439,203
371,578,662
372,295,340
373,916,335
374,63,593
375,406,295
376,488,364
377,912,304
378,496,386
379,341,527
380,419,379
381,4,657
382,45,194
383,976,129
384,447,951
385,149,384
386,42,667
387,606,479
388,282,735
389,227,672
390,757,231
391,522,648
392,60,986
393,653,96
394,519,275
395,1006,431
396,851,860
397,117,974
398,602,602
399,756,298
400,581,994
401,530,827
402,352,521
403,782,868
404,689,757
405,247,506
406,636,238
407,888,901
408,965,170
409,857,79
410,272,869
411,587,639
412,978,623
413,8,232
414,742,963
415,842,715
416,935,359
417,800,600
418,87,147
419,720,133
420,11,476
421,680,648
422,885,384
423,942,988
424,540,1000
425,877,110
426,400,708
427,5,273
428,982,472
429,127,273
430,587,951
431,327,682
432,692,698
433,828,140
434,506,297
435,780,270
436,816,803
437,507,442
438,284,90
439,726,373
440,189,870
441,322,1016
442,348,673
443,127,449
444,744,339
445,505,489
446,287,315
447,986,772
448,388,2
449,737,487
450,328,840
451,994,300
452,744,587
453,156,427
454,469,647
455,738,986
456,230,61
457,389,445
458,195,347
459,277,606
460,628,305
461,490,836
462,1021,565
463,130,905
464,454,808
465,369,810
466,527,495
467,321,336
468,113,144
469,994,184
470,747,856
471,200,50
472,221,998
473,577,908
474,354,734
475,403,715
476,681,100
477,163,277
478,912,331
479,543,838
480,373,121
481,551,216
482,78,106
483,823,523
484,27,442
485,592,79
486,365,941
487,371,928
488,142,740
489,538,871
490,664,529
491,236,657
492,849,669
493,851,408
494,705,280
495,142,517
496,1005,469
497,532,253
